Bus Number,Bus Name,Base kV,Area,Zone,Voltage (pu),Potential Mnemonic,Category
4102,,66.0,SPPG        ,SPPG        ,1.0021,,Empty Name
4103,,66.0,SPPG        ,SPPG        ,1.0021,,Empty Name
4104,,66.0,SPPG        ,SPPG        ,0.9991,,Empty Name
4131,,66.0,SPPG        ,SPPG        ,0.9979,,Empty Name
4132,,66.0,SPPG        ,SPPG        ,0.9979,,Empty Name
4161,,66.0,SPPG        ,SPPG        ,1.0071,,Empty Name
4162,,66.0,SPPG        ,SPPG        ,1.0071,,Empty Name
4163,,66.0,SPPG        ,SPPG        ,1.0071,,Empty Name
4164,,66.0,SPPG        ,SPPG        ,1.0126,,Empty Name
4301,,66.0,SPPG        ,SPPG        ,0.9944,,Empty Name
4302,,66.0,SPPG        ,SPPG        ,0.9942,,Empty Name
4303,,66.0,SPPG        ,SPPG        ,0.9946,,Empty Name
4304,,66.0,SPPG        ,SPPG        ,0.9944,,Empty Name
4321,,66.0,SPPG        ,SPPG        ,1.0114,,Empty Name
4322,,66.0,SPPG        ,SPPG        ,1.0113,,Empty Name
4323,,66.0,SPPG        ,SPPG        ,1.0114,,Empty Name
4324,,66.0,SPPG        ,SPPG        ,1.0132,,Empty Name
8012,,66.0,SPPG        ,SPPG        ,0.9868,,Empty Name
8014,,66.0,SPPG        ,SPPG        ,0.9868,,Empty Name
8031,,66.0,SPPG        ,SPPG        ,1.0030,,Empty Name
8032,,66.0,SPPG        ,SPPG        ,1.0044,,Empty Name
8033,,66.0,SPPG        ,SPPG        ,1.0083,,Empty Name
8034,,66.0,SPPG        ,SPPG        ,1.0083,,Empty Name
8051,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
8053,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
8054,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
8111,,66.0,SPPG        ,SPPG        ,1.0093,,Empty Name
8171,,66.0,SPPG        ,SPPG        ,1.0094,,Empty Name
8301,,66.0,SPPG        ,SPPG        ,0.9889,,Empty Name
8302,,66.0,SPPG        ,SPPG        ,0.9867,,Empty Name
8303,,66.0,SPPG        ,SPPG        ,0.9931,,Empty Name
8304,,66.0,SPPG        ,SPPG        ,0.9931,,Empty Name
9053,,66.0,SPPG        ,SPPG        ,0.9965,,Empty Name
9054,,66.0,SPPG        ,SPPG        ,0.9965,,Empty Name
10101,,66.0,SPPG        ,SPPG        ,0.9880,,Empty Name
10102,,66.0,SPPG        ,SPPG        ,0.9763,,Empty Name
10104,,66.0,SPPG        ,SPPG        ,0.9779,,Empty Name
10107,,66.0,SPPG        ,SPPG        ,0.9878,,Empty Name
10109,,66.0,SPPG        ,SPPG        ,0.9744,,Empty Name
10111,,66.0,SPPG        ,SPPG        ,0.9752,,Empty Name
10112,,66.0,SPPG        ,SPPG        ,0.9865,,Empty Name
10201,,66.0,SPPG        ,SPPG        ,1.0056,,Empty Name
10202,,66.0,SPPG        ,SPPG        ,0.9994,,Empty Name
10204,,66.0,SPPG        ,SPPG        ,1.0044,,Empty Name
10205,,66.0,SPPG        ,SPPG        ,1.0027,,Empty Name
10206,,66.0,SPPG        ,SPPG        ,1.0027,,Empty Name
10209,,66.0,SPPG        ,SPPG        ,1.0045,,Empty Name
10210,,66.0,SPPG        ,SPPG        ,1.0048,,Empty Name
10212,,66.0,SPPG        ,SPPG        ,1.0028,,Empty Name
10213,,66.0,SPPG        ,SPPG        ,1.0035,,Empty Name
10214,,66.0,SPPG        ,SPPG        ,1.0028,,Empty Name
10301,,66.0,SPPG        ,SPPG        ,1.0057,,Empty Name
10302,,66.0,SPPG        ,SPPG        ,1.0058,,Empty Name
10303,,66.0,SPPG        ,SPPG        ,1.0049,,Empty Name
10307,,66.0,SPPG        ,SPPG        ,1.0044,,Empty Name
10308,,66.0,SPPG        ,SPPG        ,1.0057,,Empty Name
10310,,66.0,SPPG        ,SPPG        ,1.0038,,Empty Name
10316,,66.0,SPPG        ,SPPG        ,1.0036,,Empty Name
10317,,66.0,SPPG        ,SPPG        ,1.0051,,Empty Name
10318,,66.0,SPPG        ,SPPG        ,1.0052,,Empty Name
10319,,66.0,SPPG        ,SPPG        ,1.0052,,Empty Name
10501,,66.0,SPPG        ,SPPG        ,0.9947,,Empty Name
10502,,66.0,SPPG        ,SPPG        ,0.9928,,Empty Name
10504,,66.0,SPPG        ,SPPG        ,0.9935,,Empty Name
10505,,66.0,SPPG        ,SPPG        ,0.9937,,Empty Name
10510,,66.0,SPPG        ,SPPG        ,0.9931,,Empty Name
10512,,66.0,SPPG        ,SPPG        ,0.9921,,Empty Name
10513,,66.0,SPPG        ,SPPG        ,0.9940,,Empty Name
10601,,66.0,SPPG        ,SPPG        ,0.9993,,Empty Name
10602,,66.0,SPPG        ,SPPG        ,0.9979,,Empty Name
10605,,66.0,SPPG        ,SPPG        ,0.9974,,Empty Name
10606,,66.0,SPPG        ,SPPG        ,0.9974,,Empty Name
10608,,66.0,SPPG        ,SPPG        ,0.9990,,Empty Name
10609,,66.0,SPPG        ,SPPG        ,0.9981,,Empty Name
10610,,66.0,SPPG        ,SPPG        ,0.9947,,Empty Name
10611,,66.0,SPPG        ,SPPG        ,0.9947,,Empty Name
10701,,66.0,SPPG        ,SPPG        ,1.0051,,Empty Name
10703,,66.0,SPPG        ,SPPG        ,1.0046,,Empty Name
10706,,66.0,SPPG        ,SPPG        ,1.0043,,Empty Name
10707,,66.0,SPPG        ,SPPG        ,1.0021,,Empty Name
10712,,66.0,SPPG        ,SPPG        ,1.0028,,Empty Name
10713,,66.0,SPPG        ,SPPG        ,1.0023,,Empty Name
10714,,66.0,SPPG        ,SPPG        ,1.0022,,Empty Name
10715,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
10801,,66.0,SPPG        ,SPPG        ,0.9985,,Empty Name
10803,,66.0,SPPG        ,SPPG        ,0.9974,,Empty Name
10807,,66.0,SPPG        ,SPPG        ,0.9975,,Empty Name
10808,,66.0,SPPG        ,SPPG        ,0.9965,,Empty Name
10810,,66.0,SPPG        ,SPPG        ,0.9976,,Empty Name
11001,,66.0,SPPG        ,SPPG        ,0.9969,,Empty Name
11011,,66.0,SPPG        ,SPPG        ,0.9944,,Empty Name
11015,,66.0,SPPG        ,SPPG        ,0.9954,,Empty Name
11101,,66.0,SPPG        ,SPPG        ,1.0108,,Empty Name
11102,,66.0,SPPG        ,SPPG        ,1.0100,,Empty Name
11103,,66.0,SPPG        ,SPPG        ,1.0097,,Empty Name
11104,,66.0,SPPG        ,SPPG        ,1.0087,,Empty Name
11105,,66.0,SPPG        ,SPPG        ,1.0107,,Empty Name
11109,,66.0,SPPG        ,SPPG        ,1.0089,,Empty Name
11201,,66.0,SPPG        ,SPPG        ,0.9942,,Empty Name
11202,,66.0,SPPG        ,SPPG        ,0.9927,,Empty Name
11203,,66.0,SPPG        ,SPPG        ,0.9927,,Empty Name
11204,,66.0,SPPG        ,SPPG        ,0.9928,,Empty Name
11205,,66.0,SPPG        ,SPPG        ,0.9939,,Empty Name
11206,,66.0,SPPG        ,SPPG        ,0.9922,,Empty Name
11218,,66.0,SPPG        ,SPPG        ,0.9896,,Empty Name
11301,,66.0,SPPG        ,SPPG        ,0.9968,,Empty Name
11304,,66.0,SPPG        ,SPPG        ,0.9947,,Empty Name
11305,,66.0,SPPG        ,SPPG        ,0.9930,,Empty Name
11308,,66.0,SPPG        ,SPPG        ,0.9957,,Empty Name
11309,,66.0,SPPG        ,SPPG        ,0.9945,,Empty Name
11310,,66.0,SPPG        ,SPPG        ,0.9960,,Empty Name
11313,,66.0,SPPG        ,SPPG        ,0.9944,,Empty Name
11314,,66.0,SPPG        ,SPPG        ,0.9944,,Empty Name
11315,,66.0,SPPG        ,SPPG        ,0.9947,,Empty Name
11401,,66.0,SPPG        ,SPPG        ,1.0078,,Empty Name
11403,,66.0,SPPG        ,SPPG        ,1.0068,,Empty Name
11404,,66.0,SPPG        ,SPPG        ,1.0024,,Empty Name
11405,,66.0,SPPG        ,SPPG        ,1.0044,,Empty Name
11406,,66.0,SPPG        ,SPPG        ,1.0046,,Empty Name
11407,,66.0,SPPG        ,SPPG        ,1.0030,,Empty Name
11408,,66.0,SPPG        ,SPPG        ,1.0022,,Empty Name
11409,,66.0,SPPG        ,SPPG        ,1.0057,,Empty Name
11411,,66.0,SPPG        ,SPPG        ,1.0032,,Empty Name
11413,,66.0,SPPG        ,SPPG        ,1.0076,,Empty Name
11414,,66.0,SPPG        ,SPPG        ,1.0066,,Empty Name
11415,,66.0,SPPG        ,SPPG        ,1.0042,,Empty Name
11416,,66.0,SPPG        ,SPPG        ,1.0077,,Empty Name
11417,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
11601,,66.0,SPPG        ,SPPG        ,0.9929,,Empty Name
11602,,66.0,SPPG        ,SPPG        ,0.9884,,Empty Name
11603,,66.0,SPPG        ,SPPG        ,0.9878,,Empty Name
11604,,66.0,SPPG        ,SPPG        ,0.9898,,Empty Name
11605,,66.0,SPPG        ,SPPG        ,0.9912,,Empty Name
11606,,66.0,SPPG        ,SPPG        ,0.9898,,Empty Name
11607,,66.0,SPPG        ,SPPG        ,0.9897,,Empty Name
11608,,66.0,SPPG        ,SPPG        ,0.9910,,Empty Name
11609,,66.0,SPPG        ,SPPG        ,0.9913,,Empty Name
11610,,66.0,SPPG        ,SPPG        ,0.9912,,Empty Name
11611,,66.0,SPPG        ,SPPG        ,0.9888,,Empty Name
11612,,66.0,SPPG        ,SPPG        ,0.9897,,Empty Name
11613,,66.0,SPPG        ,SPPG        ,0.9912,,Empty Name
11614,,66.0,SPPG        ,SPPG        ,1.0000,,Empty Name
11701,,66.0,SPPG        ,SPPG        ,1.0109,,Empty Name
11702,,66.0,SPPG        ,SPPG        ,1.0105,,Empty Name
11703,,66.0,SPPG        ,SPPG        ,1.0105,,Empty Name
11704,,66.0,SPPG        ,SPPG        ,1.0089,,Empty Name
11705,,66.0,SPPG        ,SPPG        ,1.0084,,Empty Name
11706,,66.0,SPPG        ,SPPG        ,1.0093,,Empty Name
11709,,66.0,SPPG        ,SPPG        ,1.0088,,Empty Name
11710,,66.0,SPPG        ,SPPG        ,1.0105,,Empty Name
11801,,66.0,SPPG        ,SPPG        ,0.9994,,Empty Name
11802,,66.0,SPPG        ,SPPG        ,0.9984,,Empty Name
11803,,66.0,SPPG        ,SPPG        ,0.9978,,Empty Name
11804,,66.0,SPPG        ,SPPG        ,0.9983,,Empty Name
11806,,66.0,SPPG        ,SPPG        ,0.9973,,Empty Name
11808,,66.0,SPPG        ,SPPG        ,0.9990,,Empty Name
11811,,66.0,SPPG        ,SPPG        ,0.9974,,Empty Name
12001,,66.0,SPPG        ,SPPG        ,1.0091,,Empty Name
12002,,66.0,SPPG        ,SPPG        ,1.0083,,Empty Name
12003,,66.0,SPPG        ,SPPG        ,1.0083,,Empty Name
12004,,66.0,SPPG        ,SPPG        ,1.0081,,Empty Name
12005,,66.0,SPPG        ,SPPG        ,1.0081,,Empty Name
12007,,66.0,SPPG        ,SPPG        ,1.0083,,Empty Name
12008,,66.0,SPPG        ,SPPG        ,1.0085,,Empty Name
12010,,66.0,SPPG        ,SPPG        ,1.0086,,Empty Name
12101,,66.0,SPPG        ,SPPG        ,1.0039,,Empty Name
12105,,66.0,SPPG        ,SPPG        ,0.9960,,Empty Name
12106,,66.0,SPPG        ,SPPG        ,1.0030,,Empty Name
12107,,66.0,SPPG        ,SPPG        ,1.0029,,Empty Name
12108,,66.0,SPPG        ,SPPG        ,1.0038,,Empty Name
12111,,66.0,SPPG        ,SPPG        ,0.9901,,Empty Name
